,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,Lüderitz,-26.65,15.16,51.8,87,0,4.7,NA,1594508795
84,Port-Gentil,-0.72,8.78,77.0,88,90,11.97,GA,1594508796
85,Cuamba,-14.8,36.54,62.64,51,0,3.11,MZ,1594508796
86,Nelson Bay,-32.72,152.15,55.99,93,68,8.05,AU,1594508797
87,Puerto Madryn,-42.77,-65.04,42.91,60,0,28.32,AR,1594508774
88,Kaitangata,-46.28,169.85,51.01,61,63,13.0,NZ,1594508797
89,Konde,-4.95,39.75,75.47,84,7,9.31,TZ,1594508797
90,Oranjemund,-28.55,16.43,53.65,62,0,7.72,NA,1594508797
91,Piet Retief,-27.01,30.81,37.27,71,0,2.86,ZA,1594508798
92,Alta Floresta,-9.88,-56.09,80.31,45,32,2.59,BR,1594508778
93,Lichtenburg,-26.15,26.16,34.77,81,0,7.07,ZA,1594508798
94,Quelimane,-17.88,36.89,67.66,85,0,8.19,MZ,1594508799
95,Chitipa,-9.7,33.27,57.83,95,0,4.5,MW,1594508799
96,Comodoro Rivadavia,-45.87,-67.5,42.8,48,40,10.29,AR,1594508765
97,São José de Ribamar,-2.56,-44.05,82.4,78,20,9.17,BR,1594508799
98,Tshikapa,-6.42,20.8,81.09,47,84,2.75,CD,1594508799
99,Constitución,-35.33,-72.42,49.19,71,97,3.78,CL,1594508799
100,Lubango,-14.92,13.49,58.32,32,1,3.91,AO,1594508800
101,Maragogi,-9.01,-35.22,75.16,86,42,8.86,BR,1594508539
102,Angoche,-16.23,39.91,71.92,74,0,7.4,MZ,1594508800
103,Camapuã,-19.53,-54.04,73.54,40,100,2.71,BR,1594508800
104,Antalaha,-14.9,50.28,70.12,86,65,8.68,MG,1594508800
105,Kinango,-4.14,39.32,69.62,95,9,6.8,KE,1594508800
106,Beloha,-25.17,45.05,66.56,65,0,6.02,MG,1594508800
107,Saint-Joseph,-21.37,55.62,66.2,77,30,4.7,RE,1594508800
108,Soyo,-6.13,12.37,71.64,84,13,6.78,AO,1594508801
109,Codrington,-38.27,141.97,47.21,91,16,3.0,AU,1594508801
110,Coyhaique,-45.58,-72.07,32.0,95,40,3.36,CL,1594508801
111,Hualmay,-11.1,-77.61,61.3,79,3,8.59,PE,1594508801
112,Luanda,-8.84,13.23,71.6,83,90,5.82,AO,1594508706
113,Port Moresby,-9.44,147.18,78.85,80,68,2.73,PG,1594508802
114,Kununurra,-15.77,128.73,71.6,25,75,5.82,AU,1594508802
115,Faanui,-16.48,-151.75,78.21,76,20,17.92,PF,1594508802
116,São Paulo de Olivença,-3.38,-68.87,75.6,95,75,1.25,BR,1594508802
117,Santa Fe,-31.63,-60.7,53.01,52,100,4.52,AR,1594508618
118,Mossamedes,-15.2,12.15,64.89,56,0,8.77,AO,1594508802
